시행횟수,100번,1000번,10000번,100000번
1번째수,4.78,3.17,5.96,3.34
2번째수,2.46,1.6,2.45,5.96
3번째수,4.68,5.88,5.87,3.89
4번째수,2.13,1.18,2.47,2.85
5번째수,1.67,4.57,1.88,2.28
6번째수,5.29,1.46,2.33,1.51
7번째수,1.94,4.42,2.98,2.77
8번째수,5.62,1.65,1.85,5.67
9번째수,3.69,5.57,5.38,5.31
10번째수,2.46,2.15,5.82,5.8
11번째수,3.89,4.68,4.18,3.82
12번째수,4.4,3.87,1.31,4.09
13번째수,1.69,3.34,4.67,3.5
14번째수,1.07,1.85,1.57,3.74
15번째수,4.02,2.46,3.85,1.45
16번째수,5.82,5.15,3.96,5.97
17번째수,5.74,1.29,1.43,2.01
18번째수,5.89,5.31,3.12,2.42
19번째수,5.5,5.98,5.34,2.61
20번째수,3.82,2.43,3.82,3.05
21번째수,2.36,3.07,1.79,3.25
22번째수,5.25,5.45,1.03,1.89
23번째수,2.47,4.06,2.91,3.09
24번째수,5.56,4.76,4.42,6.0
25번째수,2.98,1.42,3.58,2.88
26번째수,1.75,4.0,3.29,2.84
27번째수,5.01,3.91,3.57,4.01
28번째수,4.95,4.36,2.62,4.95
29번째수,4.67,5.77,2.12,2.31
30번째수,2.9,2.82,3.33,4.79
31번째수,1.74,4.26,2.62,4.37
32번째수,1.64,3.64,3.94,3.29
33번째수,3.5,5.42,3.41,3.76
34번째수,4.51,5.26,5.35,2.1
35번째수,1.78,3.08,3.1,3.34
36번째수,2.69,1.61,5.98,3.45
37번째수,4.56,5.14,5.16,5.6
38번째수,4.19,3.83,3.17,4.29
39번째수,2.58,1.85,1.11,5.48
40번째수,4.46,5.09,4.62,1.18
41번째수,2.44,3.27,4.85,4.19
42번째수,4.64,1.74,4.8,2.61
43번째수,3.95,5.52,2.69,3.62
44번째수,3.06,2.29,4.17,4.61
45번째수,5.75,5.02,5.92,4.73
46번째수,5.6,5.92,2.98,1.65
47번째수,4.48,2.33,4.44,5.83
48번째수,3.32,2.05,1.14,5.22
49번째수,3.88,4.63,2.75,1.62
50번째수,1.58,2.79,4.01,4.22
51번째수,3.77,2.96,1.91,2.32
52번째수,1.75,5.03,3.67,4.29
53번째수,2.16,5.56,1.26,5.17
54번째수,2.3,4.46,4.89,3.05
55번째수,4.36,1.98,2.81,3.46
56번째수,3.19,3.29,1.53,4.78
57번째수,5.71,3.88,3.96,4.19
58번째수,5.65,1.93,1.96,3.54
59번째수,2.05,1.73,2.74,5.01
60번째수,1.42,1.27,5.39,5.55
61번째수,1.74,2.0,3.99,2.33
62번째수,2.03,3.55,5.22,2.5
63번째수,3.28,3.76,1.53,4.67
64번째수,1.3,2.83,4.56,4.78
65번째수,5.28,2.33,4.06,4.29
66번째수,5.58,2.49,3.55,3.49
67번째수,4.24,3.2,1.23,3.92
68번째수,3.57,2.21,3.54,5.74
69번째수,5.08,5.93,1.43,2.54
70번째수,5.45,1.62,2.37,1.52
71번째수,2.24,3.65,3.92,1.66
72번째수,3.11,2.64,3.25,3.7
73번째수,4.24,2.73,5.91,4.62
74번째수,2.02,1.25,1.35,4.39
75번째수,5.28,5.6,4.68,1.92
76번째수,5.35,5.96,4.88,4.81
77번째수,1.49,5.44,1.99,4.55
78번째수,2.39,5.97,2.13,3.43
79번째수,5.76,5.72,3.41,5.5
80번째수,4.17,2.39,5.56,3.76
81번째수,3.35,1.88,2.36,1.98
82번째수,3.56,2.29,4.1,3.43
83번째수,3.28,4.97,4.52,4.89
84번째수,1.03,2.46,3.08,5.56
85번째수,5.66,4.41,1.05,2.31
86번째수,1.96,2.96,1.99,3.13
87번째수,1.55,4.01,4.24,1.37
88번째수,4.59,2.91,3.72,5.19
89번째수,4.65,2.55,5.3,3.85
90번째수,3.06,4.24,1.85,3.41
91번째수,4.5,1.31,3.18,1.42
92번째수,2.61,5.02,3.41,1.65
93번째수,5.52,2.74,1.87,2.47
94번째수,4.69,2.05,1.7,2.62
95번째수,2.38,4.81,2.19,4.62
96번째수,5.63,4.88,4.51,5.59
97번째수,1.99,4.74,2.15,2.47
98번째수,1.06,1.47,5.53,5.44
99번째수,2.25,1.28,3.44,2.64
100번째수,5.24,2.41,1.47,4.84
101번째수,,2.13,5.07,3.4
102번째수,,4.69,4.22,1.19
103번째수,,2.53,3.14,1.11
104번째수,,1.61,3.64,1.48
105번째수,,3.68,3.3,4.19
106번째수,,4.91,2.28,5.04
107번째수,,3.01,2.66,2.72
108번째수,,4.68,1.04,5.37
109번째수,,4.43,1.67,5.48
110번째수,,1.11,1.62,4.78
111번째수,,1.52,5.38,5.22
112번째수,,4.85,2.08,2.85
113번째수,,1.53,2.16,2.74
114번째수,,1.08,2.16,2.47
115번째수,,5.69,5.16,1.03
116번째수,,3.24,5.31,3.5
117번째수,,2.75,3.8,5.05
118번째수,,2.42,5.42,3.02
119번째수,,2.53,4.07,4.88
120번째수,,4.52,3.51,3.26
121번째수,,1.49,5.36,4.22
122번째수,,2.55,1.59,5.99
123번째수,,1.51,5.04,5.12
124번째수,,1.44,1.61,2.56
125번째수,,4.11,5.97,4.73
